source_id,name_he,name_en,url,publisher,category,subcategory,legal_domains,primary_or_secondary,official,access,commercial,historical_coverage,content_types,full_text,metadata_availability,search_available,api_available,api_type,feeds,formats,bulk_download,auth_required,paywall,captcha,robots_policy,terms_status,license_status,rag_permission,update_frequency,last_observed_update,hebrew_quality,stability,reliability_score,authority_score,legal_risk,technical_difficulty,priority_recommendation,recommended_ingestion,verified,example_documents,notes,current_integration_status,owner,validation_source,last_reviewed
LSR-001,"משפטים - כתב העת של הפקולטה למשפטים, האוניברסיטה העברית",Mishpatim - Hebrew University Law Review,https://lawjournal.huji.ac.il/,"Faculty of Law, Hebrew University of Jerusalem",E-open-secondary,university-law-review,constitutional; criminal; private-law; administrative; general,secondary,false,open,false,"Founded 1968; site hosts recent volumes (vol. 50s, 2020s) plus online companion 'Mishpatim Al Atar' (issues 1-23+); older volumes mainly via Nevo/print",law-review-articles; notes; online-companion-essays,yes - articles readable/downloadable on site for hosted volumes,good - per-article pages with title/author/abstract,true,false,none,unknown,HTML; PDF,no,no,no,no,allowed (fetch succeeded),no explicit terms page observed on journal site,all-rights-reserved (no CC license observed),restricted,2-3 issues/year plus rolling online companion,"2026-07 (vol. 55 content visible, items dated 2024-2025)",native-excellent,stable,85,92,"medium (copyrighted academic content, no reuse license)",low,P1,crawl article pages for metadata + abstracts; full-text RAG only after publisher permission,url_opened,"Vol. 55 articles on constitutional law, social-media regulation, criminal procedure; Mishpatim Al Atar issues 19, 23","Israel's most cited Hebrew law review. Site includes advanced search. Older volumes not fully digitized on this site (available in Nevo, closed). | rag_permission detail: unclear - academic copyright, no reuse license; index/metadata safe, full-text ingestion needs permission",not integrated,LawME (founder),academic.json,2026-07-11
LSR-002,"עיוני משפט - כתב העת של הפקולטה למשפטים, אוניברסיטת תל אביב",Iyunei Mishpat - Tel Aviv University Law Review,https://www.taulawreview.sites.tau.ac.il/,"Buchmann Faculty of Law, Tel Aviv University",E-open-secondary,university-law-review,private-law; constitutional; corporate; legal-theory; general,secondary,false,open (restricted-use terms),false,"Founded 1971; site hosts recent volumes (vol. 49, 2025-2026) and 'Forum Iyunei Mishpat' online companion; older volumes partly on faculty site/Nevo",law-review-articles; forum-essays; symposium-issues,yes - full-text access on site for hosted volumes,good - article pages with abstracts,false,false,none,unknown,HTML; PDF,no,no,no,no,allowed (fetch succeeded),explicit on-site notice: use permitted for pedagogic/academic/research purposes only; commercial use prohibited,all-rights-reserved with non-commercial academic-use permission stated on site,restricted,2-3 issues/year plus rolling forum,2026-07 (vol. 49(2) visible),native-excellent,stable,85,92,medium-high for commercial reuse (explicit prohibition); low for metadata,low,License-needed,metadata + abstracts only unless TAU grants license; respect explicit non-commercial terms,url_opened,Vol. 49(1) special issue marking 30 years since a foundational work; vol. 49(2) current articles,"Site carries explicit Hebrew terms: 'הגישה למאמרים... לצרכים פדגוגים, אקדמיים ומחקריים בלבד. חל איסור על שימוש מסחרי'. | rag_permission detail: restricted - explicit non-commercial/academic-only clause; commercial legal-tech RAG requires license",not integrated,LawME (founder),academic.json,2026-07-11
LSR-003,"מחקרי משפט - כתב העת של הפקולטה למשפטים, אוניברסיטת בר-אילן",Mehkarei Mishpat - Bar-Ilan University Law Studies,https://law.biu.ac.il/en/node/527,"Faculty of Law, Bar-Ilan University (distributed via BIU Press)",E-open-secondary,university-law-review,jewish-law; private-law; constitutional; general,secondary,false,metadata-only online; full text via print purchase (BIU Press) and closed databases (Nevo),false,"Founded 1980; ~35+ volumes; faculty page describes journal, purchase via biupress.co.il",law-review-articles,no - no free full text observed on faculty page; purchase model,limited - journal description page only; volume TOCs via BIU Press catalog,false,false,none,none,HTML (info page); print,no,no,yes (print/database purchase for full text),no,allowed (fetch succeeded),unknown,all-rights-reserved,unknown,approx. 1-2 issues/year,unknown (page undated),native-excellent,stable,75,85,high for full-text ingestion (paywalled/copyrighted),high (no open corpus),P3,bibliographic metadata only (via IHP/RAMBI indexes); do not ingest full text,url_opened,Journal description page; volumes sold at biupress.co.il (e.g. Mehkarei Mishpat vol. 1),"Leading BIU journal, strong on Jewish law (Mishpat Ivri). Unlike Haifa/TAU/HUJI journals, no open full-text archive found. | rag_permission detail: no - full text not openly available",not integrated,LawME (founder),academic.json,2026-07-11
LSR-004,משפט וממשל,Mishpat u-Mimshal (Law and Government) - University of Haifa,https://law.haifa.ac.il/law-journals/law-and-government/,"Faculty of Law, University of Haifa",E-open-secondary,university-law-review,constitutional; administrative; public-law,secondary,false,open - full-issue and article PDFs hosted on faculty site (law.haifa.ac.il/wp-content/uploads/...),false,Founded 1992; site hosts PDFs at least for 2010s-2020s volumes (e.g. 2022-2023 files observed); special issues (e.g. Law and COVID),law-review-articles; special-issues,yes - direct PDF links observed (e.g. /wp-content/uploads/2023/11/lawgov-202231122-gad.pdf),moderate - WordPress issue pages with TOCs,true,false,none,unknown (WordPress default RSS likely),PDF; HTML,no,no,no,no,"unknown - robots.txt unreachable during checks (server errors), automated fetch failed",unknown,all-rights-reserved (no CC observed),restricted,1-2 issues/year,2023-2024 files observed in search results,native-excellent,medium (site intermittently unresponsive during verification),75,88,"medium (copyright, no license)","medium (flaky server, WordPress uploads structure)",P1,"crawl issue pages + PDFs politely with backoff; metadata first, full text pending permission",search_result_only,https://law.haifa.ac.il/wp-content/uploads/2023/11/lawgov-202231122-gad.pdf (Gad Barzilai article); COVID special issue,Flagship Israeli public-law journal. law.haifa.ac.il consistently failed automated fetch (robots.txt read errors) though direct PDF URLs are indexed by search engines - verify manually before ingestion. | rag_permission detail: unclear - open PDFs but no reuse license,not integrated,LawME (founder),academic.json,2026-07-11
LSR-005,דין ודברים - כתב עת משפטי בין-תחומי,Din u-Dvarim (Haifa Law Review) - University of Haifa,https://law.haifa.ac.il/law-journals/haifa-law-review/,"Faculty of Law, University of Haifa",E-open-secondary,university-law-review,interdisciplinary; private-law; legal-theory; general,secondary,false,open - issue PDFs hosted on faculty site,false,"Founded 2004; volumes through at least vol. 17 (2024) with per-volume pages (vol. 14(2) 2021, 16(1) 2022, 17 2024 observed)",law-review-articles; interdisciplinary-essays,yes - direct PDFs observed (e.g. /wp-content/uploads/2024/01/din17-editor.pdf),moderate - WordPress volume pages with TOCs,true,false,none,unknown,PDF; HTML,no,no,no,no,"unknown - robots.txt unreachable during checks, automated fetch failed",unknown,all-rights-reserved (no CC observed),restricted,approx. 1 volume/year,2024-01 (vol. 17 page),native-excellent,medium (same flaky server as Mishpat u-Mimshal),72,82,"medium (copyright, no license)",medium,P2,crawl volume pages + PDFs with backoff; metadata-first approach,search_result_only,https://law.haifa.ac.il/wp-content/uploads/2024/01/din17-editor.pdf; vol. 16(1) page dated 2022-08,Interdisciplinary Haifa journal. Same host and same automated-fetch problems as Mishpat u-Mimshal. | rag_permission detail: unclear - open PDFs but no reuse license,not integrated,LawME (founder),academic.json,2026-07-11
LSR-006,"המשפט - כתב העת של בית הספר למשפטים, המסלול האקדמי המכללה למינהל",HaMishpat Law Review - College of Management Academic Studies (COLMAN),https://hamishpat.colman.ac.il/,"Haim Striks School of Law, College of Management Academic Studies",E-open-secondary,university-law-review,private-law; criminal; commercial; general,secondary,false,metadata/TOC open; full text mostly not free (volume purchase via editorial office),false,Founded 1993; site lists volumes 25-32+ plus special issues with article-level TOCs,law-review-articles; special-issues,"no - article titles/authors listed by volume, no free download links observed; purchase via mishpat@colman.ac.il",good - article-level TOC metadata by volume,true,false,none,unknown (WordPress-based),HTML,no,no,yes (for full text; metadata free),no,allowed (fetch succeeded),footer 'כל הזכויות שמורות' only,all-rights-reserved,unknown,approx. 1 volume/year,unknown (vol. 32 listed),native-excellent,stable,70,72,high for full text; low for metadata,low (metadata scrape),P3,harvest article metadata/TOCs only; full text via Nevo license if needed,url_opened,Volume index pages vols. 25-32; about page (?page_id=31); past volumes page (?page_id=1273),Leading college (non-university) law review. Full text of many volumes exists in closed databases (Nevo). | rag_permission detail: no for full text; metadata harvesting feasible,not integrated,LawME (founder),academic.json,2026-07-11
LSR-007,חוקים - כתב עת על חקיקה,Hukim - Journal on Legislation,https://law.huji.ac.il/hukim,"Faculty of Law, Hebrew University of Jerusalem (Sacher Institute for Legislative Research and Comparative Law)",E-open-secondary,university-law-review,legislation; public-law; regulation,secondary,false,open - issue pages with full articles hosted on law.huji.ac.il,false,"Founded 2009; issues at least through vol. 13+ ('גיליון יב', 'גיליון יג' pages observed) plus short-form 'Hukim BeKtzara'",law-review-articles; legislation-commentary; short-form-notes,yes - issue pages (incl. HTML export) observed on faculty site,moderate - issue TOC pages,true,false,none,unknown,HTML; PDF,no,no,no,no,"unknown - law.huji.ac.il robots.txt unreachable during checks, automated fetch failed",unknown,all-rights-reserved (no CC observed),restricted,approx. 1-2 issues/year,unknown,native-excellent,medium (host intermittently unreachable to bots),72,85,medium,medium,P2,crawl issue pages (e.g. law.huji.ac.il/book/גיליון-יב) for text + metadata after permission check,search_result_only,https://law.huji.ac.il/book/גיליון-יב ; https://law.huji.ac.il/book/גיליון-יג ; חוקים בקצרה page,"Only Israeli journal dedicated to legislation studies - highly relevant to legal-tech statutory work. Sister journal list at sacherinstitute.huji.ac.il. | rag_permission detail: unclear - open text, no reuse license",not integrated,LawME (founder),academic.json,2026-07-11
LSR-008,הפרקליט,HaPraklit - Israel Bar Association Law Journal,http://www.hapraklit.co.il/,Israel Bar Association (Bar Publishing House),E-open-secondary,bar-association-journal,general; civil-procedure; criminal; professional-ethics,secondary,false,open in browser; article PDFs hosted under /_Uploads/dbsAttachedFiles/; site blocks automated fetchers (403),false,Founded 1943 (oldest Israeli law journal); site has volume gallery and history section; extent of digitized backfile unknown,law-review-articles; case-comments; history-columns,partial - individual article PDFs found (e.g. /_Uploads/dbsAttachedFiles/6_anidjar.pdf); full backfile coverage unknown,moderate - category/volume gallery pages,true,false,none,none,PDF; HTML,no,no,no,unknown,blocks bots - returned HTTP 403 / HTTPS-to-HTTP redirect loop to automated clients,unknown,all-rights-reserved (Israel Bar copyright presumed),requires_permission,irregular (approx. 1 volume/1-2 years),unknown,native-excellent,"medium (legacy CMS, HTTP-only pages)",65,82,medium-high (anti-bot measures + copyright),"high (403 to automation, HTTP-only, legacy ASP CMS)",License-needed,approach Israel Bar for permission; until then metadata only from indexes,search_result_only,http://hapraklit.co.il/_Uploads/dbsAttachedFiles/6_anidjar.pdf ; about page ?CategoryID=194 ; volume gallery ?CategoryID=214,Historic Bar journal since 1943. Site served 403 to our fetchers over both HTTPS and HTTP; PDFs are nonetheless indexed by search engines. | rag_permission detail: unclear - no license; site anti-bot posture suggests permission needed,not integrated,LawME (founder),academic.json,2026-07-11
LSR-009,לשכת עורכי הדין - פרסומים וביטאון 'אתיקה מקצועית',Israel Bar Association - Publications and 'Professional Ethics' Bulletin,https://israelbar.cld.bz/,Israel Bar Association (לשכת עורכי הדין בישראל),E-open-secondary,professional-body-publications,professional-ethics; lawyer-regulation; general,secondary,true,open - flipbook library (cld.bz platform) with ethics bulletins and annual activity reports; main site israelbar.org.il blocks automated fetchers (403),false,"'אתיקה מקצועית' bulletin issues (issue 78, Nov 2025, verified; series runs from mid-2000s); annual activity reports 2022-2024 observed",ethics-committee-guidelines; ethics-bulletins; annual-reports,yes - flipbook full text readable; older ethics bulletins also circulate as PDFs,"poor - flipbook platform, weak structured metadata",true,false,none,none,flipbook (cld.bz); PDF,no,no,no,unknown,main site israelbar.org.il returned 403 to automation; cld.bz flipbooks indexed by search engines,unknown,all-rights-reserved,restricted,several bulletin issues/year; annual reports yearly,2025-11 (ethics bulletin issue 78),native-excellent,"medium (content split across israelbar.org.il, cld.bz, legacy mirrors)",70,88,medium (copyright; but ethics rules/decisions are of public regulatory character),"high (flipbook extraction, main-site 403)",P2,extract ethics bulletins ('אתיקה מקצועית') and national ethics committee guidelines; contact Bar for structured access,url_opened,"https://israelbar.cld.bz/professional-ethics-issue-78 (issue 78, Nov 2025: national + district ethics committee rulings on privilege, conflicts, solicitation) ; https://israelbar.cld.bz/activity-report-2024","Ethics committee decisions/guidelines are the key legal-tech asset here. Main site www.israelbar.org.il consistently 403 to bots; some content mirrored on district sites (e.g. tabar.org.il/ethica). | rag_permission detail: unclear - official professional-body guidance, but no reuse license; ethics guidance has quasi-normative value",not integrated,LawME (founder),academic.json,2026-07-11
LSR-010,המכון הישראלי לדמוקרטיה,Israel Democracy Institute (IDI),https://www.idi.org.il/,Israel Democracy Institute,E-open-secondary,research-institute,constitutional; governance; judicial-reform; religion-and-state; national-security-law,secondary,false,"open - free downloads ('הורדה חינם') of books, policy papers, position papers",false,"Founded 1991; publications archive spans 1990s-2026; includes constitutional drafts, policy research, statistical yearbooks",policy-papers; books; position-papers; surveys; opinion-articles; statistical-yearbooks,yes - free PDF downloads for most research publications,"good - publication pages with authors, dates, abstracts",true,false,none,unknown,PDF; HTML; EPUB (some books),no,no,no,no,allowed (fetch succeeded),terms of use on site,all-rights-reserved ('© כל הזכויות שמורות למכון הישראלי לדמוקרטיה'); free-of-charge download but no CC license,requires_permission,weekly-monthly (active publication schedule),2026-07 (current site content),native-excellent,stable,88,90,medium (rights reserved) - low for metadata/abstracts,low,P1,"crawl publications section (Hebrew+English); metadata + abstracts immediately, full PDFs after permission",url_opened,Policy papers on judicial reform; annual Israeli Democracy Index; constitutional research series,The most important non-university producer of Israeli constitutional/public-law research. English site at en.idi.org.il. | rag_permission detail: unclear - free access but rights reserved; permission recommended for full-text RAG,not integrated,LawME (founder),academic.json,2026-07-11
